Municipio,Exposición a la amenaza
Camagüey,8.47
Ciego de Ávila,6.96
Cienfuegos,8.28
Ciudad de la Habana,2.98
Granma,22.39
Guantánamo,9.65
Holguín,10.95
Isla de la Juventud,9.86
La Habana,6.90
Las Tunas,13.29
Matanzas,18.45
Mayabeque,21.57
Pinar del Río,8.78
Sancti Spíritus,25.03
Santiago de Cuba,30.34
Villa Clara,20.23
