Municipio,Exposición a la amenaza
Centre,1.52
Grand'Anse,14.69
L'Artibonite,15.26
Nippes,10.33
Nord-Est,10.31
Nord-Ouest,17.37
Nord,5.82
Ouest,5.03
Sud-Est,1.95
Sud,17.01
